,review,rating,clean_review,sentiment_text
0,It was nice produt. I like it's design a lot.  It's easy to carry. And.   Looked stylish.READ MORE,5,nice produt like design lot easy carry looked stylish read,Positive
1,awesome sound....very pretty to see this nd the sound quality was too good I wish to take this product loved this product 😍😍😍READ MORE,5,awesome sound pretty see nd sound quality good wish take product loved product read,Positive
2,"awesome sound quality. pros 7-8 hrs of battery life (including 45 mins approx call time)Awesome sound output. Bass and treble are really very clear without equaliser. With equaliser, sound wary depends on the handset sound quality.Weightless to carry and in head tooMic is good, but in traffic it is not too good (3.25/5)3.5mm Option is really important to mention. Really expecting other leading brands to implement this.ConsVery tight in ears. adjusters are ok .. this ll be very tight...READ MORE",4,awesome sound quality pros hrs battery life including mins approx call time awesome sound output bass treble really clear without equaliser equaliser sound wary depends handset sound quality weightless carry head toomic good traffic good mm option really important mention really expecting leading brands implement consvery tight ears adjusters ok tight read,Positive
3,I think it is such a good product not only as per the quality but also the design is quite good . I m using this product from January ... In this pandamic situation it has became the most useful and helpful . Overall the bass and the sound quality is pretty good and another thing that will give you such a sigh of relief that it will provide a wire that will help you in case of lacking charges.READ MORE,5,think good product per quality also design quite good using product january pandamic situation became useful helpful overall bass sound quality pretty good another thing give sigh relief provide wire help case lacking charges read,Positive
4,awesome bass sound quality very good bettary long life  and I have a purchase Rs.999  only really grateful product don't forget to likeREAD MORE,5,awesome bass sound quality good bettary long life purchase rs really grateful product forget likeread,Positive
5,"Awsome sound powerful bass battery backup is also excellent and i loved bass the most and I'm huge lover of music and the most bass design and build is also very nice,and this was my first time when i bought and headphone or and electronics item and glad to say on the first time only i loved it 😍 😍 😍  it's a very excellent product.         Thanks boat for making such a nice product keep making such and the most Thanks to flipkart team for delivering such a nice product by risking there lif...READ MORE",5,awsome sound powerful bass battery backup also excellent loved bass huge lover music bass design build also nice first time bought headphone electronics item glad say first time loved excellent product thanks boat making nice product keep making thanks flipkart team delivering nice product risking lif read,Positive
6,This product sound is clear and excellent bass. Obviously this is a good product valuable from money. so guys any no daut this is a really good product.....READ MORE,4,product sound clear excellent bass obviously good product valuable money guys daut really good product read,Positive
7,Should u buy this---Pros:-1. Sound quality and build quality is awesome2. Bluetooth connectivity is average3. Bass is clear and High 😍4. Battery Backup is very good5. U can use this as wire Headphone when u have no charge on headphone..(This is good)Cron:-1. If u use it for too long u can feel the pain in ur ear2. its on the ear not over the ear...if u need over the ear at this price go for Moto puls maxFinal opinion:---If u want good sound quality.. good bass and a wireless head...READ MORE,4,u buy pros sound quality build quality awesome bluetooth connectivity average bass clear high battery backup good u use wire headphone u charge headphone good cron u use long u feel pain ur ear ear ear u need ear price go moto puls maxfinal opinion u want good sound quality good bass wireless head read,Positive
8,"First of all, I want to talk about sound quality. The sound quality is best for this price segment. Bass is really punchy, mids are also good, but on high volumes, the sound cracks a bit,  otherwise it is really nice. 9/10.Then come the build quality. The build quality too is amazing. You cant get better headphones than these. They are sturdy and very light, made out of very good quality plastic. 9.5/10.The thing I didn't like was that they are a bit tight. Sometimes, they become uncomforta...READ MORE",5,first want talk sound quality sound quality best price segment bass really punchy mids also good high volumes sound cracks bit otherwise really nice come build quality build quality amazing cant get better headphones sturdy light made good quality plastic thing like bit tight sometimes become uncomforta read,Positive
9,Good looking Super Fine clear Sound and power full bassREAD MORE,5,good looking super fine clear sound power full bassread,Positive
10,"The headphone have the best bass and perfect to fit and fixed the on the head.....that mi a1 provide large range of Bluetooth.....and mic working fine on Bluetooth,wire also....READ MORE",4,headphone best bass perfect fit fixed head mi provide large range bluetooth mic working fine bluetooth wire also read,Positive
11,great looks n very light weight sound is very cool but design is ok ok. the ears couf is cheaper in quality.. after 15 minutes you feel pain in ur ears n sweating. sound quality is excellent n base is awesome.. it is value for money in this price range thanks to flipkart for this... calling feature is also very poor.READ MORE,4,great looks n light weight sound cool design ok ok ears couf cheaper quality minutes feel pain ur ears n sweating sound quality excellent n base awesome value money price range thanks flipkart calling feature also poor read,Positive
12,"I am using this headphone since 6 months, great bass I am a songs lover and like to listen all types of song, this headphone is great for all kind of music from trance or edm to hindi old song and great battery life tooo great buy bole to Paisa VasooooolREAD MORE",5,using headphone since months great bass songs lover like listen types song headphone great kind music trance edm hindi old song great battery life tooo great buy bole paisa vasooooolread,Positive
13,Sound quality is good. But cannot wear it for more than 10 minutes. It's sooo uncomfortable. My ears start paining because of its small size. I feel like somebody is pressing my ears from both the sides with great force. Boat needs to improve its design.READ MORE,1,sound quality good cannot wear minutes sooo uncomfortable ears start paining small size feel like somebody pressing ears sides great force boat needs improve design read,Negative
14,"Reson for 1 star : Sounds for alerts for connection, low battery, incoming calls etc. plays at 10 times of volume then the volume that we usually hear anything on headphones. These notification plays at sound level that everyone in the room will hear it. Imagine it playing when u r wearing this headphones. It's like a blast in ur ears out of nowhere. When it plays like that loud when I'm wearing it, I wish to throw it away.Reason why I hvnt thrown it away yet : decent sound quality and ba...READ MORE",1,reson star sounds alerts connection low battery incoming calls etc plays times volume volume usually hear anything headphones notification plays sound level everyone room hear imagine playing u r wearing headphones like blast ur ears nowhere plays like loud wearing wish throw away reason hvnt thrown away yet decent sound quality ba read,Negative
15,"yes it is good in all aspect..except mic, i tried to talk using mic over bluetooth but other person cannot hear it clearly and also that low sound irritates them... ..so if you want something to enjoy music in budget and quality this is good.. ...and yes it is tight but with use it gets loosen little but not comfortable for big head, i feel my head is small so in a week i got comfortable with it and keeping the volume mid range you can use it for hours like i use for 2-3 hrs a day but keepi...READ MORE",3,yes good aspect except mic tried talk using mic bluetooth person cannot hear clearly also low sound irritates want something enjoy music budget quality good yes tight use gets loosen little comfortable big head feel head small week got comfortable keeping volume mid range use hours like use hrs day keepi read,Neutral
16,"sound: its relay rock when I compare with other headphones I used HP, LG, Sony...     battery: thanks to the designer awesome battery backup  if u hearing songs on ful day the battery back for 2 days. ..  negative; the mic was not clear when we drive its not audible & also when we speaking calls the sound not louder it head phones...if this s/b improved it headphones relay wonderful product.... for 1499 worth no doubt please go with this....also customer service response is good rate 4/5....I...READ MORE",4,sound relay rock compare headphones used hp lg sony battery thanks designer awesome battery backup u hearing songs ful day battery back days negative mic clear drive audible also speaking calls sound louder head phones b improved headphones relay wonderful product worth doubt please go also customer service response good rate read,Positive
17,battery backup good some times tight on the head Bluetooth is connective good speakers good bass is good and boat really rocking guys I am bought product dasar in cost 999 rs price reasaonble what r the observeve in use 2 months what r the changes waiting u battery indicated good.really happy in this product and delivery is goodREAD MORE,3,battery backup good times tight head bluetooth connective good speakers good bass good boat really rocking guys bought product dasar cost rs price reasaonble r observeve use months r changes waiting u battery indicated good really happy product delivery goodread,Neutral
18,Good product..sound quality is good but bass is not so heavy as they are saying. I saw that this product has got 4.3 ratings then I placed order. Now truly saying that I am some of dissatisfied with this product. Bluetooth connectivity is good but I there is a huge lack can be shown when some music tracks are playing through Bluetooth. No issues for aux mode. Built quality is not so good. The main thing I was searching for a bass heavy headphones and they are saying that this is bass heavy so...READ MORE,4,good product sound quality good bass heavy saying saw product got ratings placed order truly saying dissatisfied product bluetooth connectivity good huge lack shown music tracks playing bluetooth issues aux mode built quality good main thing searching bass heavy headphones saying bass heavy read,Positive
